"","Time","i","ii","iii"
"1",2005 Q1,0.0856922047739837,0.0857717083577295,0.0825505612597251
"2",2005 Q2,0.0689032200995206,0.0689422625718123,0.0272120744639778
"3",2005 Q3,0.103728630493014,0.103752311657712,0.0388118691789497
"4",2005 Q4,0.083297106277028,0.0834207054602566,0.0197563259059697
"5",2006 Q1,0.109413728153655,0.109413728153655,0.0200418504010253
"6",2006 Q2,0.147027858376161,0.147095877946622,0.109203623034365
"7",2006 Q3,0.109184772485413,0.109206514405444,0.0304297278928
"8",2006 Q4,0.546967901603781,0.547308052910296,0.0464006227686512
"9",2007 Q1,0.11535187093836,0.11535187093836,0.0458706228379182
"10",2007 Q2,0.121773008790208,0.121773008790208,0.0382881944815333
"11",2007 Q3,0.0916019066611737,0.0916019066611737,0.0190747040151319
"12",2007 Q4,0.0952503012161167,0.0952503012161167,0.0181749493120982
"13",2008 Q1,0.101634977582567,0.101735385196658,0.0158709760683532
"14",2008 Q2,0.0821785815284289,0.0821916654237093,0.0125523636596646
"15",2008 Q3,0.0978570924970064,0.0978622135120794,0.0276204511012181
"16",2008 Q4,0.0792468642707705,0.0788950173883683,0.0239995901182625
"17",2009 Q1,0.140301007917746,0.14091329686101,0.0179120937551307
"18",2009 Q2,0.102334305009981,0.102171285359069,0.016478720608934
"19",2009 Q3,0.12439336115388,0.124971975221733,0.0437634239090402
"20",2009 Q4,0.120684545322568,0.121042600887174,0.0551582630628125
"21",2010 Q1,0.0767686020738114,0.0768472111876503,0.0175828125353443
"22",2010 Q2,0.405233180248243,0.404308791151541,0.297120375220139
"23",2010 Q3,0.0735022817066773,0.0734719455949877,0.0123914932183656
"24",2010 Q4,0.0898437287105233,0.0898194508139643,0.0116430091066916
"25",2011 Q1,0.0926550508324752,0.092663755153854,0.0125388462955117
"26",2011 Q2,0.122343634115958,0.122256204622134,0.0127113675462389
"27",2011 Q3,0.0878265255427671,0.0877722760213248,0.0115522719027622
"28",2011 Q4,0.101394018078129,0.101402574275041,0.0108712969559046
"29",2012 Q1,0.142603142976552,0.142416532177964,0.0150108313360903
"30",2012 Q2,0.107946866457584,0.107949223155866,0.0197539411590319
"31",2012 Q3,0.107551582394378,0.1074662013534,0.0139598194811331
"32",2012 Q4,0.125074099616004,0.124217674585598,0.0111344235668894
"33",2013 Q1,0.120360578090449,0.117897437490373,0.0150508722294869
"34",2013 Q2,0.109582406527629,0.10738249756167,0.0164268980362209
"35",2013 Q3,0.101840464348769,0.0994878625784934,0.0140749802291827
"36",2013 Q4,0.0865753412899552,0.0847979698374703,0.013063244182499
"37",2014 Q1,0.114058887946928,0.113117053153067,0.0164693169285921
"38",2014 Q2,0.100097127032041,0.0983000675798964,0.0177642554521185
"39",2014 Q3,0.096277688270004,0.0952802735004245,0.0107772174876882
"40",2014 Q4,0.125320807479202,0.122469754287787,0.0150768093749444
"41",2015 Q1,0.121063525456661,0.11976489832844,0.0148470220274034
"42",2015 Q2,0.138598338362588,0.137340011026255,0.0181525215182979
"43",2015 Q3,0.122244033478887,0.121003868869127,0.0115200833110255
"44",2015 Q4,0.106504930585207,0.106244295368996,0.00961835115683154
"45",2016 Q1,0.133442295495172,0.131522130622651,0.0180234130001221
"46",2016 Q2,0.142304419923388,0.140566234690661,0.0139437207911894
"47",2016 Q3,0.0943542872095883,0.0931158824628659,0.0106572343474199
"48",2016 Q4,0.0942027644229011,0.0939107512738577,0.0123729145851104
"49",2017 Q1,0.0998112116426683,0.0967252660275254,0.0160479579394805
"50",2017 Q2,0.164997562185895,0.160469026266896,0.0179800415699165
"51",2017 Q3,0.11723134839194,0.112544589100373,0.0110285918006168
"52",2017 Q4,0.0719987501942607,0.0706468966304964,0.01414759925643
"53",2018 Q1,0.100463343099988,0.0988574377162921,0.0138679811937628
"54",2018 Q2,0.0998035021079348,0.0981830500660179,0.0163008588133024
"55",2018 Q3,0.0823245104131807,0.0823419002151195,0.0119176422061276
"56",2018 Q4,0.0912570199039641,0.093026209932309,0.0134378260218209
"57",2019 Q1,0.132244721988382,0.133290193916896,0.0162200421510655
"58",2019 Q2,0.139720066139513,0.141504419502571,0.0238950038739218
"59",2019 Q3,0.122847197770956,0.124399922317471,0.0247664726259065
"60",2019 Q4,0.0825630563446473,0.0840265258179711,0.0107624079663672
"61",2020 Q1,0.0846895830026581,0.082813107354898,0.0105460810348059
"62",2020 Q2,0.0942838777164311,0.0927339714678011,0.0118632436280899
"63",2020 Q3,0.0759881079696591,0.0746117090198558,0.00980212017411916
"64",2020 Q4,0.110422911171334,0.11332486414265,0.0328968576875851
"65",2021 Q1,0.102264842137576,0.104646309361136,0.0188349943723503
"66",2021 Q2,0.106393379499478,0.107063266492248,0.0108907203897097
"67",2021 Q3,0.0920284444864643,0.0922668064694832,0.00867169447285684
"68",2021 Q4,0.0892757357570314,0.0904800388863802,0.0347563483578547
"69",2022 Q1,0.0953012877664805,0.0977085629814561,0.0203350022140234
"70",2022 Q2,0.121510011199761,0.123594907779147,0.0372563219218382
"71",2022 Q3,0.0879572924010349,0.0904232264439073,0.0226410854197164
"72",2022 Q4,0.114852702651859,0.11903135868791,0.0373745592136755
